0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,Label
6926.984259,6854.180949,5710.7739,31308.09664,31298.3796,31162.61668,8170.605702,71.36127315,101.0656057,13927.16542,7335.123233,19590.38785,9263.891636,9391.574908,9578.490239,20288.82647,20286.68257,20103.20059,11422.76266,338.8296654,100.298473,28148.7256,31743.41895,30344.28121,10559.72483,10622.17949,10732.07753,13038.08578,13084.51244,13076.78477,5048.521139,1593.063156,429.2608364,34492.03881,35761.09125,37219.73745,10927.98149,11023.74888,10823.24224,11431.03986,11413.49333,11418.0176,1320.816999,5433.369565,2782.737077,32422.50664,27015.97965,29088.69194,0.005493316,0.005548891,0.005614728,0.030848614,0.032626225,0.03094171,0.033704083,0.04575726,0.02943935,0.560454716,0.791115342,0.515493325,0.004492995,0.004503205,0.004513001,0.00821238,0.008375759,0.008123932,0.033314396,0.019249567,0.023992437,0.327818733,0.223757643,0.275853763,0.004801171,0.004797956,0.004808286,0.005030626,0.005032038,0.005054232,0.028043683,0.009822013,0.013049629,0.162386159,0.046432131,0.067687151,0.005513346,0.005541549,0.005522185,0.005518057,0.005546277,0.005534223,0.020780943,0.007070796,0.00813216,0.070095005,0.015380068,0.020459856,55.77694444,55.44316358,51.25078318,142.2264969,142.1498457,141.7155208,37.08904321,3.453533951,5.830767747,55.3345679,29.00457562,77.58445988,75.00570902,75.39066912,75.98655617,114.0843232,113.9855816,113.5612109,50.41761817,9.966497851,7.216106507,112.5302026,127.8248772,121.4370242,83.04436813,83.2723138,83.5754884,92.13959096,92.31072955,92.19563492,26.24769536,23.37762515,14.80753968,138.8548687,151.3573107,153.7789683,85.12333937,85.43873792,84.53976449,87.08629227,86.97533213,87.08330314,13.57786836,48.22004831,33.03466184,132.9361715,127.779529,131.3564915,0.037627821,0.038960414,0.038229509,0.064729706,0.066194547,0.065613642,0.222775736,0.327394425,0.215210956,0.658175354,0.835503644,0.593833902,0.018698644,0.018533983,0.0196149,0.023310405,0.024331575,0.023085463,0.184624742,0.134599322,0.158811689,0.402181868,0.301705214,0.349615628,0.013332513,0.01311705,0.01316925,0.013386838,0.014250634,0.014394295,0.157828386,0.062840075,0.082112802,0.229140872,0.087661738,0.115386831,0.012330911,0.012693707,0.01216472,0.011515978,0.011522728,0.012063768,0.120965435,0.032689094,0.043779225,0.136459466,0.038990514,0.04885917,1
7164.945,6959.228958,5572.232789,30038.99245,30071.70184,29947.17326,8277.448835,238.1466204,302.8857677,14836.34635,9323.226983,20426.07694,10195.57083,10063.9173,8948.637723,20115.99529,20093.87497,19910.67096,13523.9301,719.5987185,117.0176028,27072.57007,30266.33788,29808.84484,10508.85308,10394.17289,10443.98822,13472.0743,13529.19391,13658.56598,7802.652717,1162.44098,439.8770299,32108.07007,34454.61885,35881.35612,11044.16624,11176.16313,11135.27859,11512.39438,11558.01042,11729.44852,1502.268931,4608.208937,2756.11561,32892.20885,27742.79852,30121.9218,0.006273627,0.006349488,0.00675791,0.048626746,0.052273922,0.047665952,0.036266203,0.054803447,0.029847584,0.549614754,0.746614099,0.50389,0.004681858,0.004703305,0.004790196,0.012008281,0.012604137,0.01167235,0.038591122,0.024006563,0.025859269,0.344455025,0.245752223,0.280795724,0.004834605,0.004823148,0.004838169,0.005341128,0.005410739,0.005442965,0.034057456,0.012040088,0.015993849,0.181971661,0.053504781,0.076001719,0.005529486,0.005540521,0.005522846,0.005549891,0.005535212,0.005565556,0.024801672,0.007727257,0.009479715,0.078817725,0.016730881,0.022156148,56.70328704,55.81494599,50.63302855,137.6759877,137.7923225,137.4655015,38.07987654,4.432631173,7.145219907,59.10375386,36.90786265,81.05878858,77.43786832,76.80688306,72.5099294,112.8486495,112.629911,112.1489334,58.97660374,11.84505064,7.463244322,108.8088014,122.621194,119.7389503,82.12530525,81.63644689,81.82332112,93.06349206,93.19610806,93.69583333,37.00228938,21.35499084,14.56137057,129.8878053,146.9626526,149.0841728,85.50120773,86.06452295,85.80105676,87.39927536,87.45691425,88.26868961,14.0790157,44.09112319,32.28632246,135.0032911,130.8244263,135.6046498,0.048639989,0.050805245,0.048958396,0.086386618,0.088585329,0.08564248,0.23414657,0.335627978,0.219996295,0.642936463,0.796017268,0.578779381,0.022727927,0.023422399,0.023608217,0.031190389,0.031569181,0.030621139,0.19406795,0.148554015,0.167139592,0.414110872,0.320037417,0.352258972,0.014080482,0.014424888,0.014982797,0.016719092,0.016579352,0.016819187,0.170600334,0.066657213,0.087880203,0.252054808,0.097620528,0.127543204,0.012004974,0.011941595,0.012235197,0.012666007,0.011655514,0.012057594,0.128923288,0.036584963,0.046306343,0.144678962,0.039985567,0.051991719,1
6808.041242,6780.647226,5546.622388,30737.84615,30703.57732,30429.75743,8219.188094,557.9043827,262.9596952,15120.49054,9455.924178,20236.27088,9825.632758,9780.710743,9123.003277,20493.98336,20475.83418,20240.30415,14068.50405,1087.571324,123.931085,27558.54388,31292.76835,29558.37827,10440.58368,10224.01804,10524.66935,13515.3081,13563.52573,13588.5625,8807.490598,1458.733471,522.7839438,32378.70597,34462.12317,35551.68921,10971.25453,10781.57409,10575.35704,11569.92669,11655.2093,11499.06932,2433.124336,4663.986111,2539.997766,31856.58089,27001.48191,28931.77126,0.006057538,0.006170135,0.00652274,0.044586037,0.048333395,0.045161905,0.037867117,0.050058122,0.029156795,0.54186532,0.739314391,0.502138498,0.004628417,0.004639294,0.004699385,0.010888885,0.011320014,0.010791068,0.039737735,0.022097392,0.024803311,0.335149656,0.234050625,0.279581023,0.004819089,0.004819814,0.004819271,0.005224642,0.005257975,0.005265568,0.034947297,0.011163218,0.014499984,0.172938457,0.050098974,0.074428518,0.005515371,0.005521814,0.005522763,0.005550302,0.005546482,0.005548577,0.023920343,0.007176501,0.008509272,0.076762743,0.016274701,0.021772203,54.93165895,54.6805517,50.42728009,139.7138927,139.5423843,138.7163002,37.83946759,5.784112654,6.866577932,60.21506944,37.4432909,80.30315586,76.13797575,75.84427563,73.35389042,113.9805172,113.7887661,113.3722145,61.16706568,13.54448281,7.508202885,110.7054251,126.8635359,118.7937078,82.15154151,81.30277778,82.30876068,93.27095543,93.38617216,93.57104701,41.14838217,23.19552808,15.3490232,131.0125305,147.070696,147.8019078,85.2192029,84.50742754,83.62647947,87.8080314,88.16376812,87.36256039,18.38888889,45.83043478,32.62451691,131.2346316,128.3038345,131.3553744,0.045831921,0.048292633,0.046296304,0.081956043,0.085291974,0.0828851,0.23012842,0.328019069,0.218824341,0.63548337,0.791572391,0.57860905,0.021489447,0.021825154,0.021397357,0.028842673,0.029655978,0.028692145,0.192236705,0.141274545,0.166521414,0.405470699,0.305644371,0.354293469,0.014075887,0.013459473,0.01468544,0.014882196,0.015573112,0.015321389,0.166187092,0.065058167,0.086164025,0.245484069,0.094166126,0.12550737,0.012400717,0.012799266,0.012331262,0.01238692,0.011849773,0.012485151,0.118650744,0.033051232,0.043250326,0.147347738,0.039561597,0.051520819,1
7463.564541,7176.952542,6560.441667,30918.77962,30885.79842,30598.86503,6324.233611,620.1945486,220.7835147,15536.49589,9058.992762,20265.36402,9789.970465,9745.645112,9909.247053,19683.53312,19679.85296,19375.81285,12531.8391,1468.128215,125.0724371,29193.47007,32223.39897,30408.80102,10588.26087,10595.01523,10856.35192,12928.04754,12945.70902,12922.7255,13102.78082,2038.686111,718.2150794,34658.58205,35464.33016,36777.92558,10795.35091,10908.87385,10840.88034,11301.57874,11349.85764,11294.5641,5042.092965,5313.8109,3157.744565,32555.52017,26198.0846,28614.93213,0.005197248,0.005288913,0.005343351,0.031387175,0.033964007,0.0313863,0.032245637,0.0434662,0.029243915,0.5287635,0.747480974,0.500005092,0.004450904,0.004457233,0.004479108,0.008392257,0.008585757,0.008120024,0.032687898,0.018331375,0.023982604,0.297429336,0.208123259,0.270842265,0.00478809,0.004792503,0.004808092,0.004998025,0.005019697,0.00500351,0.029663809,0.009612095,0.01292985,0.135675565,0.041471752,0.062332872,0.005517231,0.005519502,0.005510824,0.005535706,0.005499895,0.00554159,0.020723429,0.006733938,0.007815559,0.061718004,0.014341883,0.019385187,58.67758873,57.32403164,55.60975309,141.1632176,140.989429,140.1407253,30.48428241,5.983584105,6.511400463,61.82379244,35.85873457,80.37832176,77.25264733,76.94436004,77.77727133,112.0153161,111.8732351,111.2451964,55.41764886,15.29463628,7.304788214,117.0737185,130.3640731,121.9585098,83.11480464,83.11019536,84.21865079,91.73508852,91.7889652,91.77043651,58.35853175,26.3957265,16.46007326,140.1830281,151.642033,152.9074786,84.6673913,85.11684783,84.8321558,86.78550725,86.91814614,86.60184179,29.04580314,49.40860507,35.86878019,134.1995169,125.8330918,130.3802536,0.036387182,0.038173769,0.035907099,0.065965231,0.068368933,0.066513708,0.208672273,0.311639247,0.213672479,0.625738727,0.797874631,0.578368482,0.017832959,0.017849492,0.017677167,0.024000502,0.024682157,0.023865579,0.16539165,0.122664135,0.160929472,0.371063331,0.283428727,0.343204936,0.012902247,0.013014608,0.013370826,0.0139922,0.01362412,0.013756354,0.138023497,0.057213682,0.079447534,0.203732212,0.078538075,0.10722415,0.012689564,0.012332616,0.012686287,0.011706124,0.011661649,0.012594887,0.104234429,0.030150132,0.038821538,0.125063288,0.037364184,0.048701951,1
7891.895725,7606.835721,5797.539201,30709.02639,30752.29608,30649.55242,7097.441381,66.41312886,152.3393171,14067.7955,8221.248507,19965.28424,10038.01776,10085.50787,9325.582566,19831.61651,19842.55995,20038.22991,14364.97706,294.7126995,117.7062001,27831.35622,32089.36493,31327.19918,10596.73361,10535.69393,10563.80513,12921.11607,12990.40769,13106.13665,6769.104655,847.5849054,419.0974817,33272.5381,35273.17911,36524.13756,11011.09568,10905.08065,10999.09124,11476.03964,11443.76905,11594.72817,671.7649758,5828.041908,2407.250966,33030.92135,27096.50438,29674.23034,0.005287256,0.005325278,0.005752216,0.031006205,0.033012152,0.03076799,0.035550762,0.047227249,0.028865602,0.559650146,0.766539238,0.504743413,0.004458884,0.00446058,0.004532153,0.008230818,0.008476612,0.008188281,0.039312399,0.020853335,0.024119414,0.33546171,0.21709419,0.254408385,0.004804918,0.004802044,0.004806142,0.005022852,0.005034213,0.005048606,0.035082165,0.010918311,0.013907745,0.164673454,0.043085271,0.0620198,0.005507763,0.005531958,0.005527919,0.005518098,0.005518759,0.005526847,0.025213296,0.007109433,0.008474193,0.073071922,0.015252606,0.019931058,60.3282716,59.06658565,51.86581404,140.6266281,140.7612886,140.4326427,33.12881944,3.658738426,6.341547068,55.9357909,32.50755787,79.10703704,78.34729896,78.42948895,75.12197667,112.6040746,112.5196056,113.3730203,62.04960098,10.26549263,7.76339779,111.481085,129.4549877,125.5253607,83.24093407,82.9753663,82.8498779,91.59461233,91.80744811,92.19574176,32.98795788,20.93435592,15.31695665,134.2590965,150.073428,151.6195513,85.49067029,85.06989734,85.46304348,87.39121377,87.31464372,87.77780797,11.23907005,50.84305556,32.78206522,135.359692,128.3477959,133.9969505,0.036698421,0.03789196,0.03736628,0.065295484,0.066827789,0.065247425,0.225237527,0.310543359,0.205612422,0.656328224,0.816198962,0.584990673,0.01759187,0.017896354,0.018275379,0.023969941,0.024609501,0.023420778,0.184130099,0.12641505,0.146341614,0.406994285,0.293383524,0.329100089,0.012805737,0.013077494,0.01330918,0.014344727,0.014789976,0.01400947,0.157199859,0.058108719,0.075538128,0.235231297,0.08288802,0.109074567,0.012325924,0.012029382,0.01254521,0.011677386,0.011482827,0.012637357,0.119120857,0.029530583,0.03956435,0.136797032,0.038718661,0.048999818,1
7672.95718,7432.377878,5538.916292,29722.36729,29685.23343,29655.16839,7741.579838,56.87792052,134.859591,14988.24655,8491.15387,20607.1971,10027.16139,10115.47441,9050.282574,19531.31067,19572.32602,19706.01388,15527.5465,264.5940991,120.2475368,28336.63345,32140.26189,31451.28482,10607.86706,10441.41163,10497.95452,12951.25075,12981.34202,13452.24373,5101.789957,865.0366606,449.9272131,32446.37995,34658.27842,36351.94222,10851.76724,10584.62286,10967.24082,11574.9696,11558.85821,11701.15722,334.100936,5703.844384,2782.259179,32053.26935,26862.31848,29387.06199,0.005434466,0.00551818,0.006293105,0.037843387,0.041542082,0.037409131,0.035683713,0.047553539,0.027147463,0.54010952,0.762357966,0.487377804,0.004499494,0.004512718,0.004686258,0.009695126,0.010146164,0.009842293,0.040156162,0.021639855,0.023261277,0.321172889,0.21696079,0.252627376,0.004807789,0.004813745,0.004816938,0.005192374,0.00521756,0.005248042,0.036413054,0.01135868,0.0140255,0.169172007,0.046213395,0.065331827,0.005535623,0.005521236,0.005511899,0.005547879,0.005552232,0.00555412,0.027119679,0.007423024,0.00885545,0.074770452,0.015934436,0.021036432,59.82008873,58.71915123,51.02604552,137.4665432,137.2949923,137.2214738,35.89032407,3.670343364,6.546975309,59.59874228,33.58312886,81.67302083,77.98012584,78.21108809,73.51098066,111.4365715,111.494268,112.1034454,66.73488336,10.19092234,7.906054328,113.6243785,129.7365101,126.084822,83.05897436,82.37094017,82.40604396,91.43792735,91.50874542,93.18801893,26.63067766,21.13113553,15.59769536,131.0101343,147.5674603,150.9461538,84.77702295,83.64429348,85.19824879,87.51760266,87.53852657,87.89350845,9.792964976,49.83176329,33.90960145,131.6749094,127.2769324,132.7448973,0.039036494,0.041409364,0.041686523,0.072766051,0.075944969,0.073137034,0.217250829,0.312068451,0.197632119,0.638006361,0.811436748,0.570478049,0.019141062,0.019218888,0.020391162,0.027076773,0.027552125,0.026860484,0.18007504,0.131153627,0.146878748,0.392011227,0.293525765,0.327400999,0.013299438,0.01373599,0.014062408,0.01547938,0.015535757,0.015129542,0.16025279,0.059519948,0.077629893,0.242165282,0.090196222,0.114216628,0.012182913,0.011888735,0.012086606,0.01286523,0.01206623,0.011691758,0.122020532,0.032678188,0.041782452,0.1469623,0.040201868,0.051244983,1
8238.509892,7960.488468,5563.409761,30323.5565,30369.05234,30305.11971,7553.089877,52.05757716,141.5344483,15221.09938,9533.140073,21176.56703,10131.09752,10195.77957,9434.845066,19365.87756,19365.17897,19473.92113,14649.70239,277.8255448,119.349977,28455.91872,32332.21407,31549.00649,10783.27631,10711.86938,10495.55185,12825.98236,12854.92353,13068.95536,6535.268254,823.6500458,415.4381258,33682.45646,34853.58877,36828.84275,10869.59303,10870.91516,10939.72467,11261.1109,11309.12702,11606.53614,311.8279287,6015.550543,2812.549698,33034.06105,27266.24212,29812.02101,0.005196174,0.005222621,0.005719975,0.029286146,0.031090592,0.029353343,0.033673118,0.048630836,0.027636494,0.53678281,0.738466936,0.481161538,0.004449941,0.004467004,0.00454247,0.007996761,0.00819329,0.007844106,0.037128593,0.021672483,0.024213353,0.315548914,0.209356593,0.244714898,0.004809654,0.004810853,0.004818002,0.005007594,0.005017434,0.005057757,0.033637637,0.01140282,0.014571918,0.155533172,0.042042603,0.061499828,0.005520039,0.005522433,0.005526682,0.00553587,0.005544674,0.005548659,0.025419989,0.007436307,0.009001966,0.071161235,0.015213841,0.020173681,62.41358025,61.16996528,51.61963735,140.1318248,140.2642477,140.0870062,35.3572608,3.832700617,6.736222994,60.59341821,37.72255015,84.00784336,78.82115562,78.92907459,75.57784684,111.3852287,111.2255602,111.8161449,63.4812922,10.49004758,7.905240945,114.2200123,130.7942986,126.7314917,84.1263431,83.80589133,82.6160409,91.3757326,91.43321123,92.09729853,32.1734127,20.75795177,15.18559219,136.2193987,149.0463675,153.2052961,84.92750604,84.92022947,85.21005435,86.47352053,86.58789251,87.79532005,9.625211353,50.55332126,33.32445652,135.5626208,129.3108394,134.7326087,0.034347194,0.035689363,0.036298159,0.061950318,0.063104976,0.061746371,0.213360598,0.305844406,0.197713024,0.633572569,0.790149043,0.561601925,0.017451282,0.01760653,0.018394788,0.02281615,0.023361649,0.022527163,0.176403626,0.127664356,0.147053496,0.386403957,0.283033702,0.316721352,0.012481531,0.012483509,0.012910723,0.014078829,0.014078214,0.014384337,0.157119342,0.059261728,0.075837593,0.222108719,0.081162845,0.107424605,0.01257076,0.012611633,0.013175271,0.012348665,0.012169121,0.011950943,0.116884729,0.030733815,0.039817117,0.135108188,0.036843722,0.048135764,1
7289.096578,7175.47213,6880.908183,30765.86449,30791.09251,30425.39666,5369.881092,6583.24027,519.2420448,19985.79699,12203.81673,23533.34688,9813.771601,9730.77421,9848.970887,19306.56769,19345.25633,18615.29463,9508.828837,11028.52692,978.8641114,32253.39484,34150.08313,32168.69199,10597.70325,10572.24861,10885.81989,12777.33936,12791.59847,12693.30649,13628.80919,11142.65015,8235.433181,33535.08645,32831.86253,34546.39742,11052.85643,10850.19807,10810.56199,11349.03662,11330.11926,11356.89296,14184.82446,10577.69176,10211.12862,32556.19022,25176.59882,27645.36063,0.005233252,0.005296953,0.005041411,0.032538939,0.0363039,0.032291519,0.026842637,0.041910364,0.030813651,0.424846241,0.662228912,0.425073459,0.00444549,0.004449812,0.004459864,0.00811454,0.008428106,0.007766422,0.027180325,0.01687872,0.02716204,0.219765413,0.156726308,0.230623351,0.004805112,0.004796924,0.004801741,0.004989419,0.004995356,0.004972805,0.024780685,0.008778627,0.012517445,0.101556014,0.030971897,0.050243521,0.005540973,0.005525981,0.005531134,0.00553871,0.005535912,0.005539245,0.018807054,0.006310603,0.007483813,0.048559122,0.011854662,0.015808113,59.23299769,58.3903858,58.32903164,140.7297029,140.7092978,139.5686613,28.86837577,30.20328704,8.924567901,79.8510108,48.40483025,93.61808642,77.55149632,77.10695979,77.85374463,111.2956568,111.1883748,109.1153622,45.60084408,54.94248005,11.26137968,130.6783303,139.9118401,129.68031,83.17431319,83.11842186,84.35300672,91.17727411,91.1960928,90.94513126,62.01813187,64.67570208,47.42496947,137.4431013,144.6027625,146.2905525,85.7892814,85.09921498,84.63686594,86.61669686,86.50217391,86.6607186,66.3830314,72.6633756,65.76292271,136.081099,125.6762379,129.897343,0.035040837,0.037567808,0.034370477,0.067696801,0.071103825,0.067262498,0.171812845,0.266669011,0.188962874,0.527854728,0.727388817,0.507814154,0.018088309,0.01814808,0.017897352,0.023411808,0.024005528,0.02295801,0.140130247,0.100617475,0.150677047,0.288380328,0.225077306,0.300829725,0.013863602,0.013246598,0.013068166,0.014204667,0.013934913,0.01440422,0.120590056,0.047477634,0.069418123,0.168809725,0.064825156,0.095485023,0.011748414,0.012177185,0.012938057,0.012834192,0.012466688,0.012761102,0.088846227,0.026512291,0.033139311,0.102809968,0.029713339,0.039583563,1
7208.299606,7091.636944,6765.681906,30718.06736,30741.68583,30417.95299,5334.119649,6431.930459,526.5451852,19213.30439,11148.40821,23113.83226,9820.369805,9763.628798,9686.927586,19433.73031,19514.58438,18921.60101,9666.089426,10728.11201,995.596194,32108.78198,34006.48579,31931.56525,10570.30368,10600.52912,10695.1802,12837.88168,12889.21435,12794.7071,13698.12396,10978.54948,8322.371062,33712.92239,33042.47407,34794.03739,10809.60066,10903.38294,10724.79487,11456.71014,11467.56072,11375.37624,14221.39381,10108.14354,9931.788768,32095.8048,25231.43475,27928.88046,0.005241904,0.005294908,0.005106218,0.033985584,0.037077899,0.033465576,0.027434396,0.045188059,0.031263932,0.442722872,0.68511289,0.435968493,0.004461036,0.004461462,0.004476284,0.008315804,0.008488066,0.007982228,0.027879914,0.017889353,0.029030673,0.228741561,0.166077731,0.246029722,0.004803936,0.004804736,0.00480179,0.005036607,0.005047187,0.005029896,0.025889273,0.009229154,0.013261453,0.10575519,0.034174157,0.055404003,0.005512023,0.005524001,0.005522804,0.005525239,0.005499854,0.005550795,0.019704227,0.00644394,0.007655965,0.051674827,0.012517619,0.016820424,58.7591358,57.89209877,57.61239969,140.3256134,140.2949344,139.280625,28.38597608,29.36134645,8.675208333,76.70934799,44.20072145,91.88179012,77.44537293,77.09193524,77.0673496,111.6089165,111.7282075,110.0796117,45.8948895,53.24564917,11.05658379,129.8008748,138.9246624,128.5253913,83.01036325,83.2001221,83.44662698,91.19969475,91.34084249,91.08499695,62.02967033,63.45534188,47.26724664,137.8083791,144.6354853,146.6768315,84.71425121,84.98191425,84.07077295,87.26237923,87.18312198,86.73505435,66.23058575,70.14993961,64.06630435,133.8614432,124.8974336,130.1124698,0.036013059,0.038685106,0.035603104,0.069881526,0.072662932,0.069083702,0.177176351,0.278555003,0.196308002,0.544635922,0.748812921,0.517792946,0.018145069,0.018552458,0.018006416,0.024095529,0.024428968,0.023022721,0.143408338,0.108013807,0.161021535,0.30002629,0.234209347,0.315664876,0.014136102,0.013245724,0.014061033,0.013690266,0.014403511,0.013948184,0.123596315,0.050321196,0.072068788,0.173973139,0.06899932,0.10184102,0.012530295,0.012950462,0.012857837,0.01231801,0.012524507,0.012696092,0.092881593,0.027941239,0.037636561,0.110018941,0.032479628,0.042292596,1
6638.899082,6552.5614,6602.218179,31006.33707,31104.78784,30887.3851,4819.7963,4209.457793,435.1601813,18450.74581,11013.57658,22629.83793,9669.284599,9597.572921,9721.953131,19789.85856,19733.54177,19329.6215,10175.45602,9023.513306,546.2453806,31070.16328,33209.9635,31704.99269,10424.14524,10474.79533,10682.60879,12878.01129,12987.75232,12894.76056,15960.76392,10272.40668,5130.055006,33666.23429,33450.17694,35436.58922,10814.33838,10951.75876,10779.60226,11273.55915,11262.46585,11369.23043,15959.8817,10201.84082,8437.429982,32396.70661,25262.05033,27901.9106,0.00543093,0.0054365,0.005331469,0.035749547,0.038826425,0.035225487,0.028928808,0.046155118,0.028725585,0.452835131,0.693476374,0.444680903,0.004496489,0.004499854,0.004482623,0.008686878,0.008947023,0.008271432,0.032548489,0.018765557,0.026659927,0.247248458,0.175433382,0.245912276,0.004809339,0.004800516,0.004802541,0.005047545,0.005071762,0.005006268,0.029087912,0.00961883,0.013470352,0.115157695,0.036070921,0.05481544,0.005531216,0.005507597,0.005533029,0.005539862,0.005536241,0.005521484,0.021655161,0.006718182,0.008109428,0.051636544,0.012136836,0.016297357,55.78943673,55.02576775,56.17724537,140.8295255,141.1309606,140.5526119,26.06124614,20.57840278,8.192426698,73.57572917,43.6292284,89.89601466,76.48653315,76.08088551,76.91493247,112.3109269,111.8711863,110.9521332,47.79485114,46.50220994,9.341789441,125.3850599,135.3659991,127.5354512,82.51492674,82.67417582,83.29844322,91.42051282,91.85976801,91.53403541,70.92261905,60.85027473,34.96886447,137.6811203,146.441804,149.4131563,84.78958333,85.40809179,84.53463164,86.68976449,86.64272343,86.97131643,72.75084541,70.41207729,57.96947464,135.3311292,125.7601147,130.6094505,0.039052191,0.041317344,0.037811588,0.072836182,0.075587121,0.071904488,0.18571135,0.283589329,0.19716817,0.557385503,0.754607968,0.527393532,0.01913559,0.019343184,0.018548412,0.025208888,0.025672727,0.024258597,0.150253546,0.111325739,0.157077858,0.319467012,0.247257615,0.315367508,0.013924841,0.0138448,0.013707387,0.013796485,0.013309019,0.013828492,0.123351526,0.048754407,0.070758156,0.183811069,0.072342323,0.098598787,0.012566973,0.012306205,0.012155548,0.01179268,0.011915621,0.012048849,0.092908795,0.026240821,0.035627108,0.108784572,0.030893973,0.040800958,1
